Title,Genre,Metascore,imdbVotes,imdbRating,criticscore,criticcount,criticpos,criticmixed,criticneg,userscore,usercount,userpos,usermixed,userneg
24,"Action, Crime, Drama",0,148623,8.4,88,27,26,-1,-1,8,216,197,7,12
Baccano!,"Animation, Action, Adventure",0,6646,8.4,-1,-1,-1,-1,0,8,16,15,-1,1
Trigun,"Animation, Action, Comedy",0,13938,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Anne of Green Gables,"Drama, Family",0,14658,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Homeland,"Crime, Drama, Mystery",0,235455,8.4,92,29,29,-1,0,8,1037,897,50,90
Banshee,"Action, Crime, Drama",0,59842,8.4,62,20,9,11,0,8,277,252,16,9
Broadchurch,"Crime, Drama, Mystery",0,44202,8.4,91,30,29,1,0,8,251,218,10,23
Dragon Ball Z Kai,"Animation, Action, Adventure",0,13097,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Person of Interest,"Action, Crime, Drama",0,130299,8.5,66,26,14,11,-1,8,423,382,23,18
Foyle's War,"Crime, Drama, Mystery",0,9220,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
This Is England '88,Drama,0,5505,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
All in the Family,"Comedy, Drama",0,9929,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
My So-Called Life,Drama,0,15752,8.4,92,19,18,1,0,8,14,13,-1,1
Invader ZIM,"Animation, Comedy, Family",0,15635,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Red vs. Blue: The Blood Gulch Chronicles,"Animation, Action, Adventure",0,7529,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cranford,Drama,0,6766,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Rectify,Drama,0,16327,8.3,82,28,25,3,0,8,292,266,15,11
Murder One,"Crime, Drama, Mystery",0,1556,8.1,99,25,25,-1,0,6,18,12,1,5
The People v. O.J. Simpson: American Crime Story,"Biography, Crime, Drama",0,25284,8.5,90,45,43,2,0,8,311,277,12,22
Enlightened,"Comedy, Drama",0,5421,7.5,74,22,16,6,0,6,107,64,27,16
The Americans,"Crime, Drama, Mystery",0,49082,8.3,78,35,30,5,0,8,431,391,18,22
Homicide,"Action, Drama",0,57,8.0,94,18,18,-1,0,8,19,17,1,1
Transparent,"Comedy, Drama",0,14797,7.9,92,29,28,1,0,7,223,177,11,35
The Returned,"Drama, Fantasy, Horror",0,16094,8.3,92,28,28,-1,0,8,265,235,10,20
The Hollow Crown,"Drama, History",0,3571,8.5,91,7,7,-1,0,6,41,27,3,11
Master of None,Comedy,0,28034,8.3,91,31,31,-1,0,7,396,308,41,47
The Corner,"Crime, Drama",0,3496,8.7,90,21,20,1,0,7,9,7,-1,2
Rescue Me,"Drama, Comedy",0,22502,8.4,86,25,22,3,0,8,28,27,-1,1
The People v. O.J. Simpson: American Crime Story,"Biography, Crime, Drama",0,25284,8.5,90,45,43,2,0,8,311,277,12,22
Veep,Comedy,0,26044,8.1,72,30,21,8,-1,7,204,170,15,19
Orange Is the New Black,"Comedy, Crime, Drama",0,194732,8.3,79,32,28,3,-1,8,762,683,45,34
The Good Wife,"Crime, Drama, Mystery",0,50248,8.3,75,26,22,4,0,8,228,215,6,7
Boomtown,"Crime, Drama, Mystery",0,1670,8.2,89,31,29,2,0,7,4,3,-1,1
Masters of Sex,"Drama, Romance",0,28204,8.0,86,32,29,3,0,7,273,234,12,27
